,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
0,0,1,1,MIN,Anthony Edwards,Georgia,1,72,2314,1392,336,211,0.417,0.329,0.776,32.1,19.3,4.7,2.9,0.8,0.017,-2.6,-0.3,8.06,,,8.06,1630162,Minnesota Timberwolves,0.55,1.9,-1.35,1.37,2.42,-1.05,23.889,0.521,10.772,0.326,0.451,6.63,0.782,0.288,0.265,7.73,4.975,0.165,0.786,0.01,3.317
1,1,2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5.4,-0.7,5.07,,,5.07,1630164,Golden State Warriors,-3.53,-3,-0.53,-3.46,-3.04,-0.42,21.19,0.529,2.43,0.229,0.125,5.301,0.64,0.245,0.244,13.061,1.491,0.059,1.993,0.021,3.068
2,3,4,4,CHI,Patrick Williams,Florida State,1,71,1983,655,327,99,0.483,0.391,0.728,27.9,9.2,4.6,1.4,2.5,0.06,-2.7,-0.3,7.64,,,7.64,1630172,Chicago Bulls,-1.88,-1.73,-0.15,-0.97,-1.39,0.42,15.238,0.521,4.204,0.354,0.292,3.637,0.741,0.26,0.175,8.075,2.818,0.089,1.017,0.011,2.062
3,4,5,5,CLE,Isaac Okoro,Auburn,1,67,2173,646,206,128,0.42,0.29,0.726,32.4,9.6,3.1,1.9,0.9,0.02,-5,-1.6,7.39,,,7.39,1630171,Cleveland Cavaliers,-2.36,-1.7,-0.66,-2.26,-1.6,-0.66,16.086,0.517,6.013,0.327,0.369,4.548,0.753,0.32,0.181,5.6,3.545,0.12,0.518,0.006,2.349
4,5,6,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,0.644,0,0.632,12,4.6,3.3,0.4,1.9,0.155,-1.3,0.1,7.22,,,7.22,1630168,Atlanta Hawks,-0.54,-0.99,0.45,-0.05,-0.83,0.78,11.917,0.599,0.812,0.226,0.043,4.924,0.665,0.349,0.141,13.814,1.246,0.035,2.569,0.031,2.051
5,7,8,8,NYK,Obi Toppin,Dayton,1,62,683,253,138,29,0.498,0.306,0.731,11,4.1,2.2,0.5,1.5,0.109,-1,0.2,3.69,,,3.3,1630167,New York Knicks,-0.26,-0.3,0.04,-0.14,-0.2,0.06,16.27,0.572,7.272,0.318,0.437,3.076,0.738,0.212,0.17,10.187,1.918,0.065,1.096,0.011,1.579
6,9,10,10,PHO,Jalen Smith,Maryland,1,27,156,53,37,4,0.44,0.235,0.714,5.8,2,1.4,0.1,0.1,0.022,-6.2,-0.2,10.5,,,10.3,1630188,Phoenix Suns,-3.02,-2.38,-0.64,-3.02,-2.4,-0.62,17.186,0.496,4.416,0.311,0.292,4.439,0.66,0.253,0.197,12.216,1.51,0.051,1.24,0.015,2.61
7,10,11,11,SAS,Devin Vassell,Florida State,1,62,1056,341,174,56,0.406,0.347,0.843,17,5.5,2.8,0.9,1.5,0.069,-1.9,0.1,8.95,,,8.95,1630170,San Antonio Spurs,-1.52,-1.52,0,-1.45,-1.49,0.04,15.584,0.477,6.607,0.35,0.451,2.613,0.808,0.194,0.155,7.667,2.544,0.081,0.722,0.008,1.324
8,11,12,12,SAC,Tyrese Haliburton,Iowa State,1,58,1746,753,173,309,0.472,0.409,0.857,30.1,13,3,5.3,3.5,0.096,1.1,1.4,9.68,,,9.68,1630169,Sacramento Kings,-0.72,0.43,-1.15,0.23,0.87,-0.64,20.605,0.487,9.199,0.36,0.488,3.046,0.784,0.152,0.221,4.899,8.506,0.274,0.642,0.008,3.098
9,12,13,13,NOP,Kira Lewis Jr.,Alabama,1,54,904,343,71,124,0.386,0.333,0.843,16.7,6.4,1.3,2.3,0.9,0.045,-3.8,-0.4,8.56,,,8.56,1630184,New Orleans Pelicans,-2.27,-1.46,-0.81,-2.29,-1.46,-0.83,17.612,0.474,6.311,0.322,0.36,3.217,0.807,0.188,0.183,4.621,6.537,0.197,0.583,0.007,2.114
