,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
0,0,1,1,MIN,Anthony Edwards,Georgia,1,72,2314,1392,336,211,0.417,0.329,0.776,32.1,19.3,4.7,2.9,0.8,0.017,-2.6,-0.3,8.06,,,8.06,1,2.160370415,2.160370415,-0.903030553,0.908966044,-1.811996598
1,1,2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5.4,-0.7,5.07,,,5.07,1,-0.527734361,-0.527734361,-3.270920491,-3.033286023,-0.237634467
2,3,4,4,CHI,Patrick Williams,Florida State,1,71,1983,655,327,99,0.483,0.391,0.728,27.9,9.2,4.6,1.4,2.5,0.06,-2.7,-0.3,7.64,,,7.64,1,-1.56328723,-1.56328723,-3.514918176,-3.144005463,-0.370912712
3,4,5,5,CLE,Isaac Okoro,Auburn,1,67,2173,646,206,128,0.42,0.29,0.726,32.4,9.6,3.1,1.9,0.9,0.02,-5,-1.6,7.39,,,7.39,1,-1.794260933,-1.794260933,-3.573370553,-2.639356522,-0.934014031
4,5,6,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,0.644,0,0.632,12,4.6,3.3,0.4,1.9,0.155,-1.3,0.1,7.22,,,7.22,1,0.480165251,0.480165251,-1.103928132,-1.627424099,0.523495967
5,7,8,8,NYK,Obi Toppin,Dayton,1,62,683,253,138,29,0.498,0.306,0.731,11,4.1,2.2,0.5,1.5,0.109,-1,0.2,3.69,,,3.69,1,0.424232611,0.424232611,-1.36905661,-1.074636115,-0.294420495
6,9,10,10,PHO,Jalen Smith,Maryland,1,27,156,53,37,4,0.44,0.235,0.714,5.8,2,1.4,0.1,0.1,0.022,-6.2,-0.2,10.5,,,10.5,1,0.089439584,0.089439584,-1.438918578,-0.964852376,-0.474066201
7,10,11,11,SAS,Devin Vassell,Florida State,1,62,1056,341,174,56,0.406,0.347,0.843,17,5.5,2.8,0.9,1.5,0.069,-1.9,0.1,8.95,,,8.95,1,0.633668891,0.633668891,-1.400413408,-1.49659806,0.096184652
8,11,12,12,SAC,Tyrese Haliburton,Iowa State,1,58,1746,753,173,309,0.472,0.409,0.857,30.1,13,3,5.3,3.5,0.096,1.1,1.4,9.68,,,9.68,1,1.506061853,1.506061853,-1.008451031,0.683574151,-1.692025182
9,12,13,13,NOP,Kira Lewis Jr.,Alabama,1,54,904,343,71,124,0.386,0.333,0.843,16.7,6.4,1.3,2.3,0.9,0.045,-3.8,-0.4,8.56,,,8.56,1,0.773798553,0.773798553,-1.019155279,-0.495773719,-0.52338156
10,13,14,14,BOS,Aaron Nesmith,Vanderbilt,1,46,669,218,127,23,0.438,0.37,0.786,14.5,4.7,2.8,0.5,1.1,0.076,-3.2,-0.2,7.1,,,7.1,1,0.231519521,0.231519521,-1.780986279,-1.613229052,-0.167757227
11,14,15,15,ORL,Cole Anthony,UNC,1,47,1273,605,221,192,0.397,0.337,0.832,27.1,12.9,4.7,4.1,0,-0.001,-3.3,-0.4,10.05,,,10.05,1,-0.002048162,-0.002048162,-2.305966767,-1.425144488,-0.880822279
12,15,16,16,POR,Isaiah Stewart,Washington,1,68,1455,537,453,59,0.553,0.333,0.696,21.4,7.9,6.7,0.9,4,0.132,-1.2,0.3,8.25,,,8.25,1,1.873944104,1.873944104,-0.376200365,-1.916140759,1.539940393
