Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
LeBron James,12,167.4166891,13.95139076,6.071302127,5.240249933,0.831052194
Chris Paul,12,135.1150444,11.25958703,5.501577536,4.376303951,1.125273585
Kevin Durant,11,128.164748,11.65134073,4.985793439,4.611417481,0.374375959
Nikola Jokic,6,63.62997273,10.60499546,4.854266566,3.674607041,1.179659525
Joel Embiid,5,36.35813894,7.271627787,4.651564937,2.542935037,2.108629901
Kawhi Leonard,10,81.74110517,8.174110517,4.623152418,2.787508037,1.835644381
James Harden,12,134.6739309,11.22282757,4.496327479,4.975269856,-0.478942377
Stephen Curry,12,114.909301,9.575775085,4.419525005,4.457318878,-0.037793873
Rudy Gobert,8,71.21472078,8.901840098,4.38093041,0.333945361,4.04698505
Anthony Davis,9,83.81313604,9.312570671,4.260151428,2.297945628,1.9622058
Tim Duncan,7,60.75547985,8.679354265,4.147898042,0.749440764,3.398457279
Giannis Antetokounmpo,8,78.94552656,9.86819082,4.059741656,2.153752749,1.905988906
Russell Westbrook,12,118.790311,9.899192584,3.682383532,3.599268941,0.083114591
Dwight Howard,12,85.10289742,7.091908118,3.097171337,0.330125687,2.767045649
Luka Doncic,3,25.24925922,8.41641974,3.442568036,4.168510102,-0.725942065
Paul George,11,86.99996898,7.909088089,3.23240161,1.939337516,1.293064094
Kyle Lowry,12,97.06151251,8.088459376,3.201967736,2.627976525,0.573991211
Damian Lillard,9,90.03046232,10.0033847,3.169884963,4.346492296,-1.176607333
Draymond Green,9,66.58102978,7.397892198,3.235730755,0.223936378,3.011794377
Kevin Garnett,7,38.35725145,5.47960735,3.052013417,-0.088155365,3.140168783
Karl-Anthony Towns,6,51.07647717,8.512746194,3.185428586,2.875617317,0.309811269
Jimmy Butler,10,75.68078126,7.568078126,3.149875902,2.334873888,0.815002014
Hassan Whiteside,9,40.73518848,4.526132053,3.021678455,0.320711652,2.700966803
Manu Ginobili,9,47.09431735,5.232701928,2.909777803,2.388113571,0.521664232
Zion Williamson,2,9.776110681,4.88805534,3.151414002,3.476824236,-0.325410234
Mike Conley,12,82.27838762,6.856532302,2.706877746,2.261014212,0.445863534
Jayson Tatum,4,32.01555209,8.003888024,2.787193073,1.45301519,1.334177883
Kevin Love,12,70.19939082,5.849949235,2.621577877,2.561864531,0.059713346
Paul Millsap,12,79.42310294,6.618591912,2.519335122,0.991764238,1.527570885
Dirk Nowitzki,10,64.85115738,6.485115738,2.396135723,1.740730937,0.655404786
LaMarcus Aldridge,12,87.62861629,7.302384691,2.358576822,1.527949633,0.830627189
Blake Griffin,11,71.26190297,6.478354815,2.369531314,2.162501514,0.2070298
Marc Gasol,12,81.88980472,6.824150394,2.378193932,0.173043882,2.20515005
Jason Kidd,4,29.21129621,7.302824054,2.575488441,1.052951928,1.522536513
Chris Bosh,7,48.955404,6.993629144,2.377733281,1.329551188,1.048182092
Dwyane Wade,10,61.6992523,6.16992523,2.18707516,2.356841919,-0.169766759
Steve Nash,5,27.75017639,5.550035278,2.2879652,3.286419213,-0.998454014
Kyrie Irving,10,59.26067487,5.926067487,2.196825031,3.183568707,-0.986743676
Pau Gasol,10,59.27945793,5.927945793,2.098895375,0.917072092,1.181823283
Kristaps Porzingis,5,26.15259412,5.230518824,2.092883227,0.741916529,1.350966698
Kobe Bryant,7,39.66315749,5.666165355,1.905525702,3.170975769,-1.265450067
Clint Capela,7,32.05245596,4.578922279,2.231739606,0.37633357,1.855406036
DeAndre Jordan,12,71.97436264,5.997863553,2.055231337,-0.140606426,2.195837762
Kemba Walker,10,68.10056819,6.810056819,1.993585524,2.396837929,-0.403252405
DeMarcus Cousins,10,53.76933396,5.376933396,1.992341291,0.892579455,1.099761836
Andre Drummond,9,57.64092948,6.40454772,2.045672212,0.201681614,1.843990598
Ricky Rubio,10,56.88608778,5.688608778,2.137738033,1.081835867,1.055902166
Paul Pierce,8,43.24848413,5.406060517,1.924074588,1.113981183,0.810093405
Andrew Bogut,10,32.55218747,3.255218747,1.961125137,-1.604200866,3.565326003
Marcus Camby,4,16.9926793,4.248169826,2.364966931,-0.552090085,2.917057015
Deron Williams,8,51.21415367,6.401769208,1.945524528,2.641578424,-0.696053896
Josh Smith,8,44.40622007,5.550777509,1.746234807,-0.041146926,1.787381733
Danny Granger,6,23.02989866,3.838316444,1.683817924,1.713806493,-0.029988569
Jusuf Nurkic,7,23.56023137,3.365747339,1.98541671,-0.446058424,2.431475134
Al Horford,12,64.3421174,5.361843117,1.731655933,0.579468283,1.152187649
Fred VanVleet,5,20.93837647,4.187675294,1.927593262,1.302969743,0.62462352
John Wall,10,59.09243759,5.909243759,1.745590248,1.517947897,0.227642351
Joakim Noah,11,41.93738842,3.812489856,1.830480743,-0.222279967,2.052760711
Bam Adebayo,4,21.58010069,5.395025172,1.810948116,0.179817124,1.631130992
Nene,10,38.28671159,3.828671159,1.603303958,-0.127997475,1.731301433
Chris Andersen,8,17.76874659,2.221093324,1.738682255,-0.442139642,2.180821897
Michael Porter Jr.,2,8.358794295,4.179397147,2.133764823,1.864165624,0.269599199
Chris Boucher,4,6.344855694,1.586213924,1.583082006,1.108735586,0.47434642
Ben Simmons,4,25.46515761,6.366289402,1.772569892,0.61526198,1.157307912
Andrew Bynum,4,15.63906692,3.909766729,1.520767494,0.022773112,1.497994382
Danny Green,12,51.0631621,4.255263508,1.631618826,0.249429731,1.382189095
Robert Covington,8,37.69722492,4.712153115,1.682767078,-0.359737174,2.042504252
Andre Iguodala,12,61.13637339,5.094697783,1.594715735,0.500074133,1.094641602
Ben Wallace,3,11.5395419,3.846513968,1.814749446,-1.388079119,3.202828564
Baron Davis,3,13.02441148,4.341470492,1.777583104,1.770831145,0.006751958
Christian Wood,5,8.065867277,1.613173455,1.517872627,0.786549729,0.731322898
Danilo Gallinari,11,52.16976153,4.742705593,1.655400482,1.697829223,-0.042428741
Alan Williams,4,2.279222724,0.569805681,1.598573785,0.385008301,1.213565484
Derrick White,4,12.67360496,3.168401241,1.803243116,0.862415772,0.940827344
Tiago Splitter,7,17.0315624,2.433080343,1.433226487,-0.071727693,1.50495418
Boban Marjanovic,6,6.562141331,1.093690222,1.594845704,1.363832519,0.231013185
George Hill,12,53.42449029,4.452040858,1.472793074,1.074391955,0.398401119
Andrei Kirilenko,5,16.93767475,3.387534949,1.529683045,0.318438485,1.21124456
Nikola Mirotic,5,19.90690802,3.981381604,1.551060725,1.217752978,0.333307748
Brook Lopez,12,54.78346966,4.565289138,1.200207953,0.290042039,0.910165915
Pascal Siakam,5,23.64005736,4.728011473,1.532898167,0.497225504,1.035672662
Mitchell Robinson,3,9.371000517,3.123666839,1.556173773,-0.332558336,1.888732109
Eric Bledsoe,11,50.42878428,4.584434934,1.53391702,0.836781765,0.697135255
Robert Williams,3,4.029593711,1.343197904,1.32659325,-0.182719568,1.509312818
Anderson Varejao,9,19.94189682,2.215766313,1.465992199,0.051608029,1.41438417
Donovan Mitchell,4,22.72403542,5.681008854,1.316609427,1.785579115,-0.468969688
Khris Middleton,9,46.88099356,5.208999285,1.480547741,1.113921939,0.366625802
Lamar Odom,4,20.00763378,5.001908445,1.497629186,0.027879963,1.469749222
Jrue Holiday,12,63.64081968,5.30340164,1.413761265,1.054158128,0.359603137
Eric Moreland,4,2.205531219,0.551382805,1.36129564,-1.843886675,3.205182315
Gerald Wallace,6,28.8859735,4.814328917,1.397133402,-0.308176461,1.705309864
Andre Miller,7,28.36245218,4.051778883,1.290952012,1.58494119,-0.293989177
Salah Mejri,4,5.820913702,1.455228425,1.270092644,-1.596798013,2.866890656
Otto Porter Jr.,8,27.81456932,3.476821165,1.251851655,0.449939983,0.801911672
David West,9,38.63140872,4.292378747,1.01378388,0.245926135,0.767857746
Amir Johnson,10,36.39676096,3.639676096,0.995948252,-0.403092609,1.399040861
Serge Ibaka,12,57.09953226,4.758294355,1.241251963,-0.31279265,1.554044613
Jarrett Allen,4,16.38071015,4.095177538,1.070391702,-0.213779542,1.284171244
Zach Randolph,9,45.52515789,5.058350877,1.195488771,1.350987848,-0.155499077
Nikola Vucevic,10,47.41200767,4.741200767,1.170580355,0.189437606,0.981142749
Chauncey Billups,5,15.76403776,3.152807553,1.534686698,2.584093934,-1.049407237
Isaiah Thomas,10,35.21445255,3.521445255,1.152183417,3.097889861,-1.945706444
Immanuel Quickley,1,2.748200029,2.748200029,0.992787526,1.733101838,-0.740314312
Shawn Long,1,0.542218225,0.542218225,1.15809435,1.539618452,-0.381524102
Donte DiVincenzo,3,8.594661868,2.864887289,1.119214889,0.014779037,1.104435852
Klay Thompson,8,46.38964802,5.798706003,1.103777842,1.548800514,-0.445022672
Myles Turner,6,25.59607844,4.266013073,1.125293172,-1.316238604,2.441531777
Victor Oladipo,8,33.86076336,4.23259542,1.088450215,0.37599066,0.712459556
Gordon Hayward,11,48.29448263,4.390407512,1.091036136,1.326841971,-0.235805835
Richaun Holmes,6,15.5119391,2.585323184,1.079762115,0.237075075,0.84268704
Tyson Chandler,11,35.25422778,3.204929798,0.877741076,-0.914775626,1.792516703
Patrick Beverley,9,28.65287325,3.183652584,1.004051714,0.362074756,0.641976958
Greg Oden,2,1.50701225,0.753506125,0.849348284,-0.779591946,1.62894023
Al Jefferson,9,34.36105677,3.817895196,0.69570956,0.265997122,0.429712438
Derrick Favors,11,40.95278086,3.722980078,0.994466884,-0.350734551,1.345201434
Ty Lawson,8,34.57193221,4.321491526,0.903769547,2.003690319,-1.099920772
Dejounte Murray,4,13.37586519,3.343966298,1.08694173,-0.26635332,1.35329505
Nicolas Claxton,2,1.781526962,0.890763481,1.102263494,-0.879695457,1.981958951
Ivica Zubac,5,10.71283511,2.142567022,0.910301654,-0.680108511,1.590410165
Larry Sanders,6,10.19943916,1.699906527,0.984566954,-2.269088708,3.253655662
Brandon Roy,3,8.57932632,2.85977544,1.024717268,2.247736382,-1.223019113
Montrezl Harrell,6,17.7094087,2.951568117,0.91175963,0.900168223,0.011591407
Kenneth Faried,8,25.12605635,3.140757044,0.893070615,0.81454008,0.078530534
CJ McCollum,8,36.30664906,4.538331133,0.983653217,1.597368852,-0.613715634
Jeff Withey,5,4.507184337,0.901436867,0.941060011,-0.68876007,1.629820081
Jakob Poeltl,5,14.87856711,2.975713422,1.148483233,-0.48694623,1.635429463
Channing Frye,9,30.6791893,3.408798812,0.918207149,0.666414622,0.251792528
Brandan Wright,8,12.5924854,1.574060675,0.889721435,0.355144511,0.534576925
Carmelo Anthony,12,55.14161983,4.595134986,0.911884172,1.94180284,-1.029918668
Steven Adams,8,34.03312113,4.254140141,0.908274059,-0.225978599,1.134252659
Bradley Beal,9,46.28246874,5.142496527,0.992670226,1.866486504,-0.873816278
